Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDF39,5946,OUT027
FDX23,1503,OUT049
FDD58,2853,OUT027
FDX28,1630,OUT013
NCD31,2918,OUT013
FDU57,2568,OUT018
FDI27,935,OUT046
NCM42,1959,OUT046
FDD32,2950,OUT027
FDI34,3756,OUT013
NCM29,1813,OUT049
FDG46,1781,OUT018
DRC01,24,OUT010
FDB15,5924,OUT027
NCA17,4338,OUT027
FDF10,2557,OUT046
FDR26,4488,OUT027
FDI02,1707,OUT049
NCM54,430,OUT010
FDF14,2786,OUT013
FDJ33,208,OUT010
FDM20,4117,OUT035
FDC03,4522,OUT027
NCX05,1789,OUT046
NCM41,2765,OUT027
NCU29,601,OUT010
FDQ59,1679,OUT017
FDH46,136,OUT010
FDH09,477,OUT013
NCD06,789,OUT045
FDC15,2760,OUT035
DRD37,1478,OUT027
FDT28,4427,OUT027
FDR28,4462,OUT027
FDT38,1701,OUT017
FDV34,2852,OUT027
FDY52,733,OUT035
FDB34,1713,OUT013
DRL23,1354,OUT018
DRB24,2572,OUT046
FDJ50,718,OUT046
FDQ49,2808,OUT035
FDP20,1693,OUT035
FDV19,4736,OUT027
NCR54,2637,OUT045
FDO09,832,OUT010
FDS57,2248,OUT018
FDN10,1797,OUT049
FDV23,1667,OUT049
FDY28,3837,OUT049
DRG51,2883,OUT013
FDD45,325,OUT019
NCL18,4524,OUT027
NCM29,1831,OUT013
FDF17,4427,OUT027
FDE22,2788,OUT017
FDQ22,936,OUT017
FDS01,2735,OUT013
FDW35,1523,OUT027
FDJ33,1621,OUT046
NCF54,2883,OUT035
FDE09,1637,OUT013
NCE06,2108,OUT045
DRH49,1587,OUT049
FDY43,2786,OUT045
NCT05,4202,OUT017
FDZ34,4379,OUT045
FDL38,1728,OUT017
FDZ31,2964,OUT017
FDR14,743,OUT035
NCN54,1707,OUT049
NCC42,4338,OUT027
FDK08,1718,OUT017
FDP59,1363,OUT013
FDV22,3189,OUT035
FDD33,4035,OUT035
DRE60,5923,OUT027
FDK52,3792,OUT046
FDA02,2907,OUT017
FDM56,1735,OUT049
FDE57,2837,OUT035
FDM32,1629,OUT045
NCQ30,2821,OUT027
FDQ27,2774,OUT027
FDT60,2447,OUT027
FDU43,3933,OUT049
NCO55,1756,OUT035
FDG02,2337,OUT045
FDJ28,2773,OUT013
FDP40,1738,OUT045
FDJ38,2831,OUT045
NCC54,4072,OUT017
NCZ41,1950,OUT046
FDK38,411,OUT019
FDU52,2720,OUT013
FDC40,1605,OUT046
NCR30,1524,OUT017
NCN18,1847,OUT017
FDB50,1747,OUT035
FDG04,2754,OUT013
FDR26,2626,OUT035
NCT17,2441,OUT018
FDX35,5166,OUT027
FDS12,1595,OUT046
NCZ29,2765,OUT027
FDB38,357,OUT010
FDP12,744,OUT013
FDP22,1078,OUT046
FDS26,3351,OUT018
FDR52,2755,OUT046
DRJ13,2702,OUT046
FDU48,2447,OUT027
FDE29,726,OUT035
NCT29,1736,OUT049
DRK37,3870,OUT018
FDK55,1490,OUT046
FDR07,2303,OUT046
FDO21,5947,OUT027
FDK46,3860,OUT049
FDB12,1419,OUT045
FDT31,4701,OUT027
FDJ33,1562,OUT045
FDC26,2732,OUT027
NCQ02,2801,OUT045
FDP08,706,OUT010
FDB11,5306,OUT027
FDV55,2623,OUT013
FDW20,1436,OUT049
NCJ18,335,OUT019
FDC41,1400,OUT018
FDE14,2731,OUT027
FDG35,2633,OUT013
FDF45,845,OUT035
FDS19,2950,OUT027
FDS58,504,OUT019
FDA26,4144,OUT017
FDM32,1703,OUT049
FDL45,1951,OUT046
FDZ55,2699,OUT049
FDY37,2820,OUT049
FDO46,2662,OUT046
FDQ60,1952,OUT046
FDA19,1968,OUT018
FDL15,2475,OUT046
FDM10,2639,OUT018
NCL05,923,OUT017
DRK49,-61,OUT010
NCE18,5777,OUT027
FDG40,803,OUT049
DRI59,3866,OUT045
FDK28,5256,OUT035
NCD06,-77,OUT019
FDO11,626,OUT019
FDK27,1371,OUT046
FDT43,1724,OUT027
FDD38,1393,OUT018
FDA16,4002,OUT049
FDL14,4518,OUT027
NCM17,841,OUT049
FDD20,1592,OUT045
FDA40,1480,OUT045
FDL43,1385,OUT045
